rest_id,name,michelin_stars,michelin_award,michelin_distinction,michelin_cuisine,michelin_location,michelin_source_url
ChIJEWbXz6ZZwokRLKmKrtPfVFY,Eleven Madison Park,3,3 Michelin Stars,3 Stars,Contemporary,Manhattan – Midtown South,https://guide.michelin.com/us/en/article/michelin-guide-ceremony/all-the-stars-in-the-michelin-guide-to-new-york-city-2025
ChIJpSTN0R9awokRI29rK_SfbeA,Jungsik New York,3,3 Michelin Stars,3 Stars,Korean,Manhattan – Tribeca,https://guide.michelin.com/us/en/article/michelin-guide-ceremony/all-the-stars-in-the-michelin-guide-to-new-york-city-2025
ChIJV7QQ6kdZwokRax4615zpSGU,Le Bernardin,3,3 Michelin Stars,3 Stars,Seafood,Manhattan – Midtown West,https://guide.michelin.com/us/en/article/michelin-guide-ceremony/all-the-stars-in-the-michelin-guide-to-new-york-city-2025
ChIJp3PsL_ZYwokRZYqs_40RJF4,Pre Se,3,3 Michelin Stars,3 Stars,Contemporary,Manhattan – Columbus Circle,https://guide.michelin.com/us/en/article/michelin-guide-ceremony/all-the-stars-in-the-michelin-guide-to-new-york-city-2025
ChIJT_JHTgFZwokRXleXHadsVaE,Sushi Sho,3,3 Michelin Stars,3 Stars,Japanese,Manhattan – Midtown East,https://guide.michelin.com/us/en/article/michelin-guide-ceremony/all-the-stars-in-the-michelin-guide-to-new-york-city-2025
ChIJWfonJ_tYwokRwIGb6Im403E,Aquavit,2,2 Michelin Stars,2 Stars,Scandinavian,Manhattan – Midtown East,https://guide.michelin.com/us/en/article/michelin-guide-ceremony/all-the-stars-in-the-michelin-guide-to-new-york-city-2025
ChIJUwatTl1ZwokRUDXxYoFa-hk,Aska,2,2 Michelin Stars,2 Stars,Scandinavian,Brooklyn – Williamsburg,https://guide.michelin.com/us/en/article/michelin-guide-ceremony/all-the-stars-in-the-michelin-guide-to-new-york-city-2025
ChIJ_Y7rMCBawokR0mnRmN5kL2o,Atera,2,2 Michelin Stars,2 Stars,Contemporary,Manhattan – Tribeca,https://guide.michelin.com/us/en/article/michelin-guide-ceremony/all-the-stars-in-the-michelin-guide-to-new-york-city-2025
ChIJ3bmAHghZwokRRXYO57yLuss,Atomix,2,2 Michelin Stars,2 Stars,Korean,Manhattan – Flatiron District,https://guide.michelin.com/us/en/article/michelin-guide-ceremony/all-the-stars-in-the-michelin-guide-to-new-york-city-2025
ChIJiVVSAE1awokRzdvqVP_z3aA,Chef's Table at Brooklyn Fare,2,2 Michelin Stars,2 Stars,Contemporary,Manhattan – Hell's Kitchen,https://guide.michelin.com/us/en/article/michelin-guide-ceremony/all-the-stars-in-the-michelin-guide-to-new-york-city-2025
ChIJw_TGEwBZwokR-zLts543O-4,Gabriel Kreuther,2,2 Michelin Stars,2 Stars,Alsatian,Manhattan – Midtown West,https://guide.michelin.com/us/en/article/michelin-guide-ceremony/all-the-stars-in-the-michelin-guide-to-new-york-city-2025
ChIJh5JzbfZYwokRR7KqJOksL7Y,Jean-Georges,2,2 Michelin Stars,2 Stars,Contemporary,Manhattan – Columbus Circle,https://guide.michelin.com/us/en/article/michelin-guide-ceremony/all-the-stars-in-the-michelin-guide-to-new-york-city-2025
ChIJfXtCJgBZwokRt0ncRw3PEk4,Joo Ok,2,2 Michelin Stars,2 Stars,Korean,Manhattan – Koreatown,https://guide.michelin.com/us/en/article/michelin-guide-ceremony/all-the-stars-in-the-michelin-guide-to-new-york-city-2025
ChIJM26HnlhYwokR4IfXFz-AuCA,Masa,2,2 Michelin Stars,2 Stars,Japanese,Manhattan – Columbus Circle,https://guide.michelin.com/us/en/article/michelin-guide-ceremony/all-the-stars-in-the-michelin-guide-to-new-york-city-2025
ChIJZZlClEZbwokRZj-0-fE25tk,Saga,2,2 Michelin Stars,2 Stars,Contemporary,Manhattan – Financial District,https://guide.michelin.com/us/en/article/michelin-guide-ceremony/all-the-stars-in-the-michelin-guide-to-new-york-city-2025
ChIJmUAVNb5YwokRyFZIbhQ_cxM,Sushi Noz,2,2 Michelin Stars,2 Stars,Japanese,Manhattan – Upper East Side,https://guide.michelin.com/us/en/article/michelin-guide-ceremony/all-the-stars-in-the-michelin-guide-to-new-york-city-2025
ChIJMW-gxPtYwokRzDlnsRgq9rA,The Modern,2,2 Michelin Stars,2 Stars,Contemporary,Manhattan – Midtown West,https://guide.michelin.com/us/en/article/michelin-guide-ceremony/all-the-stars-in-the-michelin-guide-to-new-york-city-2025
ChIJlRDB34FZwokRUVAP-qsAoUY,odo,2,2 Michelin Stars,2 Stars,Japanese,Manhattan – Flatiron District,https://guide.michelin.com/us/en/article/michelin-guide-ceremony/all-the-stars-in-the-michelin-guide-to-new-york-city-2025
ChIJ385rlW9ZwokRHTamoLqoosI,63 Clinton,1,1 Michelin Star,1 Star,Contemporary,Manhattan – Lower East Side,https://guide.michelin.com/us/en/article/michelin-guide-ceremony/all-the-stars-in-the-michelin-guide-to-new-york-city-2025
ChIJoXWHAlJZwokRVBsijjIYQoQ,Bar Miller,1,1 Michelin Star,1 Star,Japanese,Manhattan – Alphabet City,https://guide.michelin.com/us/en/article/michelin-guide-ceremony/all-the-stars-in-the-michelin-guide-to-new-york-city-2025
ChIJ5Q8Bl1NbwokRjuIXKz8OfRQ,Bridges,1,1 Michelin Star,1 Star,Contemporary,Manhattan – Chinatown,https://guide.michelin.com/us/en/article/michelin-guide-ceremony/all-the-stars-in-the-michelin-guide-to-new-york-city-2025
ChIJCcAxi5RYwokRdUqdw5_FHIk,Café Boulud,1,1 Michelin Star,1 Star,French,Manhattan – Upper East Side,https://guide.michelin.com/us/en/article/michelin-guide-ceremony/all-the-stars-in-the-michelin-guide-to-new-york-city-2025
ChIJUd1sYJ9ZwokRRkqniQdJ144,Casa Mono,1,1 Michelin Star,1 Star,Spanish,Manhattan – Gramercy Park,https://guide.michelin.com/us/en/article/michelin-guide-ceremony/all-the-stars-in-the-michelin-guide-to-new-york-city-2025
ChIJgaiXlpNbwokRN0vlYTshs-c,Corima,1,1 Michelin Star,1 Star,Mexican,Manhattan – Chinatown,https://guide.michelin.com/us/en/article/michelin-guide-ceremony/all-the-stars-in-the-michelin-guide-to-new-york-city-2025
ChIJQ1R3hKNZwokRQM4wbIrc00o,Cote,1,1 Michelin Star,1 Star,Korean,Manhattan – Flatiron District,https://guide.michelin.com/us/en/article/michelin-guide-ceremony/all-the-stars-in-the-michelin-guide-to-new-york-city-2025
ChIJ__9LNBZawokREnkOiVx7ydc,Crown Shy,1,1 Michelin Star,1 Star,Contemporary,Manhattan – Financial District,https://guide.michelin.com/us/en/article/michelin-guide-ceremony/all-the-stars-in-the-michelin-guide-to-new-york-city-2025
ChIJ09ZGju5YwokRXOcNC23JRwk,Daniel,1,1 Michelin Star,1 Star,French,Manhattan – Upper East Side,https://guide.michelin.com/us/en/article/michelin-guide-ceremony/all-the-stars-in-the-michelin-guide-to-new-york-city-2025
ChIJBXlte51ZwokRXzXtdaBG9xM,Dirt Candy,1,1 Michelin Star,1 Star,Vegetarian,Manhattan – Lower East Side,https://guide.michelin.com/us/en/article/michelin-guide-ceremony/all-the-stars-in-the-michelin-guide-to-new-york-city-2025
ChIJw6JyhoxZwokR3mKl4FLg5rM,Essential by Christophe,1,1 Michelin Star,1 Star,French,Manhattan – Upper West Side,https://guide.michelin.com/us/en/article/michelin-guide-ceremony/all-the-stars-in-the-michelin-guide-to-new-york-city-2025
ChIJf3f-f4VZwokRcBCEciTOGRQ,Estela,1,1 Michelin Star,1 Star,Contemporary,Manhattan – Nolita,https://guide.michelin.com/us/en/article/michelin-guide-ceremony/all-the-stars-in-the-michelin-guide-to-new-york-city-2025
ChIJi9BURJFZwokRDcqvIgxdXds,Family Meal at Blue Hill,1,1 Michelin Star,1 Star,American,Manhattan – Greenwich Village,https://guide.michelin.com/us/en/article/michelin-guide-ceremony/all-the-stars-in-the-michelin-guide-to-new-york-city-2025
ChIJ35V_tZlbwokRzolpCln-mG4,Francie,1,1 Michelin Star,1 Star,Contemporary,Brooklyn – Williamsburg,https://guide.michelin.com/us/en/article/michelin-guide-ceremony/all-the-stars-in-the-michelin-guide-to-new-york-city-2025
ChIJL6-NTmBZwokRGacx3GWq3D0,Frevo,1,1 Michelin Star,1 Star,Contemporary,Manhattan – Greenwich Village,https://guide.michelin.com/us/en/article/michelin-guide-ceremony/all-the-stars-in-the-michelin-guide-to-new-york-city-2025
ChIJvSQIgqFZwokRFYQbJdzceSs,Gramercy Tavern,1,1 Michelin Star,1 Star,Contemporary,Manhattan – Flatiron District,https://guide.michelin.com/us/en/article/michelin-guide-ceremony/all-the-stars-in-the-michelin-guide-to-new-york-city-2025
ChIJJy7oGqZZwokReiM-H1qtHYs,Huso,1,1 Michelin Star,1 Star,Contemporary,Manhattan – Tribeca,https://guide.michelin.com/us/en/article/michelin-guide-ceremony/all-the-stars-in-the-michelin-guide-to-new-york-city-2025
ChIJyRIhC_dbwokRqGoh89KPQME,Icca,1,1 Michelin Star,1 Star,Japanese,Manhattan – Tribeca,https://guide.michelin.com/us/en/article/michelin-guide-ceremony/all-the-stars-in-the-michelin-guide-to-new-york-city-2025
ChIJvSw_uuxZwokRwESVzh5G33s,Jeju Noodle Bar,1,1 Michelin Star,1 Star,Korean,Manhattan – West Village,https://guide.michelin.com/us/en/article/michelin-guide-ceremony/all-the-stars-in-the-michelin-guide-to-new-york-city-2025
ChIJfTgbIE9ZwokRdRjFE2OMZN8,Jua,1,1 Michelin Star,1 Star,Korean,Manhattan – Flatiron District,https://guide.michelin.com/us/en/article/michelin-guide-ceremony/all-the-stars-in-the-michelin-guide-to-new-york-city-2025
ChIJBchQ93pZwokR5AtYEzo6p1o,Jōji,1,1 Michelin Star,1 Star,Japanese,Manhattan – Midtown East,https://guide.michelin.com/us/en/article/michelin-guide-ceremony/all-the-stars-in-the-michelin-guide-to-new-york-city-2025
ChIJN8SzjFRZwokR-b5lqNXcg44,Kochi,1,1 Michelin Star,1 Star,Korean,Manhattan – Midtown West,https://guide.michelin.com/us/en/article/michelin-guide-ceremony/all-the-stars-in-the-michelin-guide-to-new-york-city-2025
ChIJZY2-HL5ZwokRnIcy5aBG-o0,Kosaka,1,1 Michelin Star,1 Star,Japanese,Manhattan – West Village,https://guide.michelin.com/us/en/article/michelin-guide-ceremony/all-the-stars-in-the-michelin-guide-to-new-york-city-2025
ChIJq75Ur-tZwokRo7I_F_PhlcU,L'Abeille,1,1 Michelin Star,1 Star,French,Manhattan – Tribeca,https://guide.michelin.com/us/en/article/michelin-guide-ceremony/all-the-stars-in-the-michelin-guide-to-new-york-city-2025
ChIJyw5j84lZwokRnUI_UknPSNA,Le Coucou,1,1 Michelin Star,1 Star,French,Manhattan – SoHo,https://guide.michelin.com/us/en/article/michelin-guide-ceremony/all-the-stars-in-the-michelin-guide-to-new-york-city-2025
ChIJjcAJd-tZwokRJ0GkkJ2Urp0,Le Pavillon,1,1 Michelin Star,1 Star,Contemporary / French,Manhattan – Midtown East,https://guide.michelin.com/us/en/article/michelin-guide-ceremony/all-the-stars-in-the-michelin-guide-to-new-york-city-2025
ChIJk_HUw2dZwokR_zqBwmFDHgo,Mari,1,1 Michelin Star,1 Star,Korean,Manhattan – Hell's Kitchen,https://guide.michelin.com/us/en/article/michelin-guide-ceremony/all-the-stars-in-the-michelin-guide-to-new-york-city-2025
ChIJ6alY3R1ZwokRQXUSqpo8OIM,Meju,1,1 Michelin Star,1 Star,Korean,Queens – Hunters Point,https://guide.michelin.com/us/en/article/michelin-guide-ceremony/all-the-stars-in-the-michelin-guide-to-new-york-city-2025
ChIJYTKtj2dZwokR3IYU3st5VuA,Muku,1,1 Michelin Star,1 Star,Japanese,Manhattan – Tribeca,https://guide.michelin.com/us/en/article/michelin-guide-ceremony/all-the-stars-in-the-michelin-guide-to-new-york-city-2025
ChIJBxKYEqZZwokRL__Emm2Tl2Y,Noda,1,1 Michelin Star,1 Star,Japanese,Manhattan – Flatiron District,https://guide.michelin.com/us/en/article/michelin-guide-ceremony/all-the-stars-in-the-michelin-guide-to-new-york-city-2025
ChIJT4q4QIFZwokRs1nRu7_ckVI,Noz 17,1,1 Michelin Star,1 Star,Japanese,Manhattan – Chelsea,https://guide.michelin.com/us/en/article/michelin-guide-ceremony/all-the-stars-in-the-michelin-guide-to-new-york-city-2025
ChIJSfeOCf5ZwokRWuoMT5Kc6KY,Nōksu,1,1 Michelin Star,1 Star,Contemporary / Korean,Manhattan – Koreatown,https://guide.michelin.com/us/en/article/michelin-guide-ceremony/all-the-stars-in-the-michelin-guide-to-new-york-city-2025
ChIJee0VTWZZwokRDYFpAoConlw,Oiji Mi,1,1 Michelin Star,1 Star,Korean,Manhattan – Flatiron District,https://guide.michelin.com/us/en/article/michelin-guide-ceremony/all-the-stars-in-the-michelin-guide-to-new-york-city-2025
ChIJ__-z7kBZwokRezHqB39zBLI,Oxomoco,1,1 Michelin Star,1 Star,Mexican,Brooklyn – Williamsburg,https://guide.michelin.com/us/en/article/michelin-guide-ceremony/all-the-stars-in-the-michelin-guide-to-new-york-city-2025
ChIJh2cqMDNZwokRqMMqNP9srxI,Restaurant Yuu,1,1 Michelin Star,1 Star,French / French Contemporary,Brooklyn – Williamsburg,https://guide.michelin.com/us/en/article/michelin-guide-ceremony/all-the-stars-in-the-michelin-guide-to-new-york-city-2025
ChIJDdKSyCVZwokR-9svvc9YDFo,Rezd?ra,1,1 Michelin Star,1 Star,Italian,Manhattan – Flatiron District,https://guide.michelin.com/us/en/article/michelin-guide-ceremony/all-the-stars-in-the-michelin-guide-to-new-york-city-2025
ChIJxZmzO7hZwokRx2fls4uU4YU,Semma,1,1 Michelin Star,1 Star,South Indian / Indian,Manhattan – Greenwich Village,https://guide.michelin.com/us/en/article/michelin-guide-ceremony/all-the-stars-in-the-michelin-guide-to-new-york-city-2025
ChIJBdMLKZBZwokRJ0tYbQ6nfZ4,Shmoné,1,1 Michelin Star,1 Star,Israeli,Manhattan – Greenwich Village,https://guide.michelin.com/us/en/article/michelin-guide-ceremony/all-the-stars-in-the-michelin-guide-to-new-york-city-2025
ChIJ34eY6E5ZwokRvof_huM7t3U,Shota Omakase,1,1 Michelin Star,1 Star,Japanese,Brooklyn – Williamsburg,https://guide.michelin.com/us/en/article/michelin-guide-ceremony/all-the-stars-in-the-michelin-guide-to-new-york-city-2025
ChIJsw80F5NZwokRcDtxajLLOeA,Sushi Nakazawa New York,1,1 Michelin Star,1 Star,Japanese,Manhattan – West Village,https://guide.michelin.com/us/en/article/michelin-guide-ceremony/all-the-stars-in-the-michelin-guide-to-new-york-city-2025
