restaurant_id,restaurant_name,asp_food_quality,asp_service,asp_ambiance,asp_value,asp_wait_time,rating,review_count,rest_id,borough,michelin_category,aspect_cluster
ChIJ-7AOKpRZwokRMq0XnG_eehU,4 Charles Prime Rib,5.0,5.0,5.0,5.0,3.01,5.0,5,ChIJ-7AOKpRZwokRMq0XnG_eehU,,,3
ChIJ-SBoguRZwokRmTRHDYXw0EI,The Commerce Inn,5.0,5.0,5.0,5.0,3.67,4.8,5,ChIJ-SBoguRZwokRmTRHDYXw0EI,,,0
ChIJ-TuoLitZwokRgQRHmUGEgyY,Portale,4.36,5.0,5.0,1.04,1.0,4.4,5,ChIJ-TuoLitZwokRgQRHmUGEgyY,,,3
ChIJ-XcRtjdZwokRMcgZdhVjqYg,Lord's,3.85,5.0,5.0,1.0,5.0,4.6,5,ChIJ-XcRtjdZwokRMcgZdhVjqYg,,,1
ChIJ-yUjn9JZwokR7Cq1cegFzZU,Covacha,4.21,5.0,5.0,5.0,4.99,4.6,5,ChIJ-yUjn9JZwokR7Cq1cegFzZU,,,0
ChIJ0-KySwBZwokROY0ex-BEQrc,Melba's,2.62,5.0,1.83,3.66,4.86,3.6,5,ChIJ0-KySwBZwokROY0ex-BEQrc,,,2
ChIJ00d8thlZwokRokFYn2wZy5E,Torien,5.0,5.0,5.0,,5.0,5.0,5,ChIJ00d8thlZwokRokFYn2wZy5E,,,0
ChIJ01_9-ZdYwokR7iv7XpkKAic,Cafe Sabarsky,4.99,5.0,5.0,4.98,5.0,4.6,5,ChIJ01_9-ZdYwokR7iv7XpkKAic,,,0
ChIJ03HMlbRPwokR4dG6Dhon-A4,Lakruwana,5.0,3.68,5.0,5.0,3.0,4.6,5,ChIJ03HMlbRPwokR4dG6Dhon-A4,,,3
ChIJ05xWLABZwokRKCsPbbMahzo,Papa San,4.19,3.0,5.0,5.0,3.63,4.4,5,ChIJ05xWLABZwokRKCsPbbMahzo,,,4
ChIJ09ZGju5YwokRXOcNC23JRwk,Daniel,5.0,5.0,5.0,,5.0,4.8,5,ChIJ09ZGju5YwokRXOcNC23JRwk,,,0
ChIJ0RWk_A5ZwokR-QEzcuKdpP4,Don Antonio,5.0,3.98,4.96,5.0,3.98,5.0,5,ChIJ0RWk_A5ZwokR-QEzcuKdpP4,,,0
ChIJ0VKRSIhZwokRdCKH7vdxs2o,Nyonya,5.0,5.0,,5.0,3.67,4.6,5,ChIJ0VKRSIhZwokRdCKH7vdxs2o,,,0
ChIJ0VWwJI9awokRoiFWFqYZMQ8,Hometown Bar B Que New York,3.44,5.0,3.71,2.56,3.0,5.0,5,ChIJ0VWwJI9awokRoiFWFqYZMQ8,,,3
ChIJ0Zb6HANZwokRnGIntPyqjLQ,Sushi Yasuda,5.0,5.0,4.97,1.01,5.0,4.8,5,ChIJ0Zb6HANZwokRnGIntPyqjLQ,,,1
ChIJ0aS81yNZwokRIk-S2YSuvls,Soothr,5.0,5.0,3.04,,3.55,4.6,5,ChIJ0aS81yNZwokRIk-S2YSuvls,,,3
ChIJ14y5HwNZwokRrNpTpUqpB7Q,Izakaya Futago,5.0,5.0,5.0,4.99,,5.0,5,ChIJ14y5HwNZwokRrNpTpUqpB7Q,,,0
ChIJ22wiSIpZwokRUmlXovJnWDI,La Mercerie,5.0,4.0,4.91,5.0,5.0,4.6,5,ChIJ22wiSIpZwokRUmlXovJnWDI,,,0
ChIJ25ryEZ5ZwokRNUaYyZc52_8,Sempre Oggi,5.0,5.0,5.0,5.0,4.79,4.8,5,ChIJ25ryEZ5ZwokRNUaYyZc52_8,,,0
ChIJ26fKep1ZwokRrPzNIqBj4xU,Superiority Burger,3.83,5.0,5.0,5.0,5.0,4.8,5,ChIJ26fKep1ZwokRrPzNIqBj4xU,,,0
ChIJ2QZOdTpawokRU_eN_EPJaX8,The River Café,4.2,5.0,5.0,3.0,5.0,5.0,5,ChIJ2QZOdTpawokRU_eN_EPJaX8,,,1
ChIJ2VQUARFZwokRjSMEcK4rT1s,Ly Ly Vietnam Cookhouse,5.0,2.0,5.0,4.1,4.98,5.0,5,ChIJ2VQUARFZwokRjSMEcK4rT1s,,,4
ChIJ2aw2iQ5gwokRDiwmsI9YhnE,Asian Jewels,4.16,4.33,5.0,5.0,3.67,4.0,5,ChIJ2aw2iQ5gwokRDiwmsI9YhnE,,,3
ChIJ2xcAfQFbwokRSBBCp0svARQ,Sailor,4.99,5.0,5.0,5.0,3.83,5.0,5,ChIJ2xcAfQFbwokRSBBCp0svARQ,,,0
ChIJ34eY6E5ZwokRvof_huM7t3U,Shota Omakase,5.0,3.69,3.67,4.76,1.0,4.4,5,ChIJ34eY6E5ZwokRvof_huM7t3U,,,3
ChIJ35V_tZlbwokRzolpCln-mG4,Francie,5.0,3.67,4.02,3.01,3.66,4.8,5,ChIJ35V_tZlbwokRzolpCln-mG4,,,3
