image_uid,rest_id,source,image_path
img_g_ChIJx32M-AZZwokRYXUV81ghelA_0,ChIJx32M-AZZwokRYXUV81ghelA,google_places,data/images/ChIJx32M-AZZwokRYXUV81ghelA_google_0.jpg
img_g_ChIJx32M-AZZwokRYXUV81ghelA_1,ChIJx32M-AZZwokRYXUV81ghelA,google_places,data/images/ChIJx32M-AZZwokRYXUV81ghelA_google_1.jpg
img_g_ChIJx32M-AZZwokRYXUV81ghelA_2,ChIJx32M-AZZwokRYXUV81ghelA,google_places,data/images/ChIJx32M-AZZwokRYXUV81ghelA_google_2.jpg
img_g_ChIJx32M-AZZwokRYXUV81ghelA_3,ChIJx32M-AZZwokRYXUV81ghelA,google_places,data/images/ChIJx32M-AZZwokRYXUV81ghelA_google_3.jpg
img_g_ChIJx32M-AZZwokRYXUV81ghelA_4,ChIJx32M-AZZwokRYXUV81ghelA,google_places,data/images/ChIJx32M-AZZwokRYXUV81ghelA_google_4.jpg
img_g_ChIJx32M-AZZwokRYXUV81ghelA_5,ChIJx32M-AZZwokRYXUV81ghelA,google_places,data/images/ChIJx32M-AZZwokRYXUV81ghelA_google_5.jpg
img_g_ChIJx32M-AZZwokRYXUV81ghelA_6,ChIJx32M-AZZwokRYXUV81ghelA,google_places,data/images/ChIJx32M-AZZwokRYXUV81ghelA_google_6.jpg
img_g_ChIJx32M-AZZwokRYXUV81ghelA_7,ChIJx32M-AZZwokRYXUV81ghelA,google_places,data/images/ChIJx32M-AZZwokRYXUV81ghelA_google_7.jpg
img_g_ChIJx32M-AZZwokRYXUV81ghelA_8,ChIJx32M-AZZwokRYXUV81ghelA,google_places,data/images/ChIJx32M-AZZwokRYXUV81ghelA_google_8.jpg
img_g_ChIJx32M-AZZwokRYXUV81ghelA_9,ChIJx32M-AZZwokRYXUV81ghelA,google_places,data/images/ChIJx32M-AZZwokRYXUV81ghelA_google_9.jpg
img_y_ChIJx32M-AZZwokRYXUV81ghelA_0,ChIJx32M-AZZwokRYXUV81ghelA,yelp,data/images/ChIJx32M-AZZwokRYXUV81ghelA_yelp_0.jpg
img_y_ChIJx32M-AZZwokRYXUV81ghelA_1,ChIJx32M-AZZwokRYXUV81ghelA,yelp,data/images/ChIJx32M-AZZwokRYXUV81ghelA_yelp_1.jpg
img_y_ChIJx32M-AZZwokRYXUV81ghelA_2,ChIJx32M-AZZwokRYXUV81ghelA,yelp,data/images/ChIJx32M-AZZwokRYXUV81ghelA_yelp_2.jpg
img_y_ChIJx32M-AZZwokRYXUV81ghelA_3,ChIJx32M-AZZwokRYXUV81ghelA,yelp,data/images/ChIJx32M-AZZwokRYXUV81ghelA_yelp_3.jpg
img_y_ChIJx32M-AZZwokRYXUV81ghelA_4,ChIJx32M-AZZwokRYXUV81ghelA,yelp,data/images/ChIJx32M-AZZwokRYXUV81ghelA_yelp_4.jpg
img_y_ChIJx32M-AZZwokRYXUV81ghelA_5,ChIJx32M-AZZwokRYXUV81ghelA,yelp,data/images/ChIJx32M-AZZwokRYXUV81ghelA_yelp_5.jpg
img_y_ChIJx32M-AZZwokRYXUV81ghelA_6,ChIJx32M-AZZwokRYXUV81ghelA,yelp,data/images/ChIJx32M-AZZwokRYXUV81ghelA_yelp_6.jpg
img_y_ChIJx32M-AZZwokRYXUV81ghelA_7,ChIJx32M-AZZwokRYXUV81ghelA,yelp,data/images/ChIJx32M-AZZwokRYXUV81ghelA_yelp_7.jpg
img_y_ChIJx32M-AZZwokRYXUV81ghelA_8,ChIJx32M-AZZwokRYXUV81ghelA,yelp,data/images/ChIJx32M-AZZwokRYXUV81ghelA_yelp_8.jpg
img_y_ChIJx32M-AZZwokRYXUV81ghelA_9,ChIJx32M-AZZwokRYXUV81ghelA,yelp,data/images/ChIJx32M-AZZwokRYXUV81ghelA_yelp_9.jpg
img_y_ChIJx32M-AZZwokRYXUV81ghelA_10,ChIJx32M-AZZwokRYXUV81ghelA,yelp,data/images/ChIJx32M-AZZwokRYXUV81ghelA_yelp_10.jpg
img_y_ChIJx32M-AZZwokRYXUV81ghelA_11,ChIJx32M-AZZwokRYXUV81ghelA,yelp,data/images/ChIJx32M-AZZwokRYXUV81ghelA_yelp_11.jpg
img_y_ChIJx32M-AZZwokRYXUV81ghelA_12,ChIJx32M-AZZwokRYXUV81ghelA,yelp,data/images/ChIJx32M-AZZwokRYXUV81ghelA_yelp_12.jpg
img_y_ChIJx32M-AZZwokRYXUV81ghelA_13,ChIJx32M-AZZwokRYXUV81ghelA,yelp,data/images/ChIJx32M-AZZwokRYXUV81ghelA_yelp_13.jpg
img_y_ChIJx32M-AZZwokRYXUV81ghelA_14,ChIJx32M-AZZwokRYXUV81ghelA,yelp,data/images/ChIJx32M-AZZwokRYXUV81ghelA_yelp_14.jpg
img_y_ChIJx32M-AZZwokRYXUV81ghelA_15,ChIJx32M-AZZwokRYXUV81ghelA,yelp,data/images/ChIJx32M-AZZwokRYXUV81ghelA_yelp_15.jpg
img_y_ChIJx32M-AZZwokRYXUV81ghelA_16,ChIJx32M-AZZwokRYXUV81ghelA,yelp,data/images/ChIJx32M-AZZwokRYXUV81ghelA_yelp_16.jpg
img_y_ChIJx32M-AZZwokRYXUV81ghelA_17,ChIJx32M-AZZwokRYXUV81ghelA,yelp,data/images/ChIJx32M-AZZwokRYXUV81ghelA_yelp_17.jpg
img_y_ChIJx32M-AZZwokRYXUV81ghelA_18,ChIJx32M-AZZwokRYXUV81ghelA,yelp,data/images/ChIJx32M-AZZwokRYXUV81ghelA_yelp_18.jpg
img_y_ChIJx32M-AZZwokRYXUV81ghelA_19,ChIJx32M-AZZwokRYXUV81ghelA,yelp,data/images/ChIJx32M-AZZwokRYXUV81ghelA_yelp_19.jpg
img_y_ChIJx32M-AZZwokRYXUV81ghelA_20,ChIJx32M-AZZwokRYXUV81ghelA,yelp,data/images/ChIJx32M-AZZwokRYXUV81ghelA_yelp_20.jpg
img_y_ChIJx32M-AZZwokRYXUV81ghelA_21,ChIJx32M-AZZwokRYXUV81ghelA,yelp,data/images/ChIJx32M-AZZwokRYXUV81ghelA_yelp_21.jpg
img_y_ChIJx32M-AZZwokRYXUV81ghelA_22,ChIJx32M-AZZwokRYXUV81ghelA,yelp,data/images/ChIJx32M-AZZwokRYXUV81ghelA_yelp_22.jpg
img_y_ChIJx32M-AZZwokRYXUV81ghelA_23,ChIJx32M-AZZwokRYXUV81ghelA,yelp,data/images/ChIJx32M-AZZwokRYXUV81ghelA_yelp_23.jpg
img_y_ChIJx32M-AZZwokRYXUV81ghelA_24,ChIJx32M-AZZwokRYXUV81ghelA,yelp,data/images/ChIJx32M-AZZwokRYXUV81ghelA_yelp_24.jpg
img_y_ChIJx32M-AZZwokRYXUV81ghelA_25,ChIJx32M-AZZwokRYXUV81ghelA,yelp,data/images/ChIJx32M-AZZwokRYXUV81ghelA_yelp_25.jpg
img_y_ChIJx32M-AZZwokRYXUV81ghelA_26,ChIJx32M-AZZwokRYXUV81ghelA,yelp,data/images/ChIJx32M-AZZwokRYXUV81ghelA_yelp_26.jpg
img_y_ChIJx32M-AZZwokRYXUV81ghelA_27,ChIJx32M-AZZwokRYXUV81ghelA,yelp,data/images/ChIJx32M-AZZwokRYXUV81ghelA_yelp_27.jpg
img_y_ChIJx32M-AZZwokRYXUV81ghelA_28,ChIJx32M-AZZwokRYXUV81ghelA,yelp,data/images/ChIJx32M-AZZwokRYXUV81ghelA_yelp_28.jpg
img_y_ChIJx32M-AZZwokRYXUV81ghelA_29,ChIJx32M-AZZwokRYXUV81ghelA,yelp,data/images/ChIJx32M-AZZwokRYXUV81ghelA_yelp_29.jpg
img_g_ChIJX97UMwBbwokRIFRlD1YzSRc_0,ChIJX97UMwBbwokRIFRlD1YzSRc,google_places,data/images/ChIJX97UMwBbwokRIFRlD1YzSRc_google_0.jpg
img_g_ChIJX97UMwBbwokRIFRlD1YzSRc_1,ChIJX97UMwBbwokRIFRlD1YzSRc,google_places,data/images/ChIJX97UMwBbwokRIFRlD1YzSRc_google_1.jpg
img_g_ChIJX97UMwBbwokRIFRlD1YzSRc_2,ChIJX97UMwBbwokRIFRlD1YzSRc,google_places,data/images/ChIJX97UMwBbwokRIFRlD1YzSRc_google_2.jpg
img_g_ChIJX97UMwBbwokRIFRlD1YzSRc_3,ChIJX97UMwBbwokRIFRlD1YzSRc,google_places,data/images/ChIJX97UMwBbwokRIFRlD1YzSRc_google_3.jpg
img_g_ChIJX97UMwBbwokRIFRlD1YzSRc_4,ChIJX97UMwBbwokRIFRlD1YzSRc,google_places,data/images/ChIJX97UMwBbwokRIFRlD1YzSRc_google_4.jpg
img_g_ChIJX97UMwBbwokRIFRlD1YzSRc_5,ChIJX97UMwBbwokRIFRlD1YzSRc,google_places,data/images/ChIJX97UMwBbwokRIFRlD1YzSRc_google_5.jpg
img_g_ChIJX97UMwBbwokRIFRlD1YzSRc_6,ChIJX97UMwBbwokRIFRlD1YzSRc,google_places,data/images/ChIJX97UMwBbwokRIFRlD1YzSRc_google_6.jpg
img_g_ChIJX97UMwBbwokRIFRlD1YzSRc_7,ChIJX97UMwBbwokRIFRlD1YzSRc,google_places,data/images/ChIJX97UMwBbwokRIFRlD1YzSRc_google_7.jpg
img_g_ChIJX97UMwBbwokRIFRlD1YzSRc_8,ChIJX97UMwBbwokRIFRlD1YzSRc,google_places,data/images/ChIJX97UMwBbwokRIFRlD1YzSRc_google_8.jpg
img_g_ChIJX97UMwBbwokRIFRlD1YzSRc_9,ChIJX97UMwBbwokRIFRlD1YzSRc,google_places,data/images/ChIJX97UMwBbwokRIFRlD1YzSRc_google_9.jpg
img_y_ChIJX97UMwBbwokRIFRlD1YzSRc_0,ChIJX97UMwBbwokRIFRlD1YzSRc,yelp,data/images/ChIJX97UMwBbwokRIFRlD1YzSRc_yelp_0.jpg
img_y_ChIJX97UMwBbwokRIFRlD1YzSRc_1,ChIJX97UMwBbwokRIFRlD1YzSRc,yelp,data/images/ChIJX97UMwBbwokRIFRlD1YzSRc_yelp_1.jpg
img_y_ChIJX97UMwBbwokRIFRlD1YzSRc_2,ChIJX97UMwBbwokRIFRlD1YzSRc,yelp,data/images/ChIJX97UMwBbwokRIFRlD1YzSRc_yelp_2.jpg
img_y_ChIJX97UMwBbwokRIFRlD1YzSRc_3,ChIJX97UMwBbwokRIFRlD1YzSRc,yelp,data/images/ChIJX97UMwBbwokRIFRlD1YzSRc_yelp_3.jpg
img_y_ChIJX97UMwBbwokRIFRlD1YzSRc_4,ChIJX97UMwBbwokRIFRlD1YzSRc,yelp,data/images/ChIJX97UMwBbwokRIFRlD1YzSRc_yelp_4.jpg
img_y_ChIJX97UMwBbwokRIFRlD1YzSRc_5,ChIJX97UMwBbwokRIFRlD1YzSRc,yelp,data/images/ChIJX97UMwBbwokRIFRlD1YzSRc_yelp_5.jpg
img_y_ChIJX97UMwBbwokRIFRlD1YzSRc_6,ChIJX97UMwBbwokRIFRlD1YzSRc,yelp,data/images/ChIJX97UMwBbwokRIFRlD1YzSRc_yelp_6.jpg
img_y_ChIJX97UMwBbwokRIFRlD1YzSRc_7,ChIJX97UMwBbwokRIFRlD1YzSRc,yelp,data/images/ChIJX97UMwBbwokRIFRlD1YzSRc_yelp_7.jpg
img_y_ChIJX97UMwBbwokRIFRlD1YzSRc_8,ChIJX97UMwBbwokRIFRlD1YzSRc,yelp,data/images/ChIJX97UMwBbwokRIFRlD1YzSRc_yelp_8.jpg
img_y_ChIJX97UMwBbwokRIFRlD1YzSRc_9,ChIJX97UMwBbwokRIFRlD1YzSRc,yelp,data/images/ChIJX97UMwBbwokRIFRlD1YzSRc_yelp_9.jpg
img_y_ChIJX97UMwBbwokRIFRlD1YzSRc_10,ChIJX97UMwBbwokRIFRlD1YzSRc,yelp,data/images/ChIJX97UMwBbwokRIFRlD1YzSRc_yelp_10.jpg
img_y_ChIJX97UMwBbwokRIFRlD1YzSRc_11,ChIJX97UMwBbwokRIFRlD1YzSRc,yelp,data/images/ChIJX97UMwBbwokRIFRlD1YzSRc_yelp_11.jpg
img_y_ChIJX97UMwBbwokRIFRlD1YzSRc_12,ChIJX97UMwBbwokRIFRlD1YzSRc,yelp,data/images/ChIJX97UMwBbwokRIFRlD1YzSRc_yelp_12.jpg
img_y_ChIJX97UMwBbwokRIFRlD1YzSRc_13,ChIJX97UMwBbwokRIFRlD1YzSRc,yelp,data/images/ChIJX97UMwBbwokRIFRlD1YzSRc_yelp_13.jpg
img_y_ChIJX97UMwBbwokRIFRlD1YzSRc_14,ChIJX97UMwBbwokRIFRlD1YzSRc,yelp,data/images/ChIJX97UMwBbwokRIFRlD1YzSRc_yelp_14.jpg
img_y_ChIJX97UMwBbwokRIFRlD1YzSRc_15,ChIJX97UMwBbwokRIFRlD1YzSRc,yelp,data/images/ChIJX97UMwBbwokRIFRlD1YzSRc_yelp_15.jpg
img_y_ChIJX97UMwBbwokRIFRlD1YzSRc_16,ChIJX97UMwBbwokRIFRlD1YzSRc,yelp,data/images/ChIJX97UMwBbwokRIFRlD1YzSRc_yelp_16.jpg
img_y_ChIJX97UMwBbwokRIFRlD1YzSRc_17,ChIJX97UMwBbwokRIFRlD1YzSRc,yelp,data/images/ChIJX97UMwBbwokRIFRlD1YzSRc_yelp_17.jpg
img_y_ChIJX97UMwBbwokRIFRlD1YzSRc_18,ChIJX97UMwBbwokRIFRlD1YzSRc,yelp,data/images/ChIJX97UMwBbwokRIFRlD1YzSRc_yelp_18.jpg
img_y_ChIJX97UMwBbwokRIFRlD1YzSRc_19,ChIJX97UMwBbwokRIFRlD1YzSRc,yelp,data/images/ChIJX97UMwBbwokRIFRlD1YzSRc_yelp_19.jpg
img_y_ChIJX97UMwBbwokRIFRlD1YzSRc_20,ChIJX97UMwBbwokRIFRlD1YzSRc,yelp,data/images/ChIJX97UMwBbwokRIFRlD1YzSRc_yelp_20.jpg
img_y_ChIJX97UMwBbwokRIFRlD1YzSRc_21,ChIJX97UMwBbwokRIFRlD1YzSRc,yelp,data/images/ChIJX97UMwBbwokRIFRlD1YzSRc_yelp_21.jpg
img_y_ChIJX97UMwBbwokRIFRlD1YzSRc_22,ChIJX97UMwBbwokRIFRlD1YzSRc,yelp,data/images/ChIJX97UMwBbwokRIFRlD1YzSRc_yelp_22.jpg
img_y_ChIJX97UMwBbwokRIFRlD1YzSRc_23,ChIJX97UMwBbwokRIFRlD1YzSRc,yelp,data/images/ChIJX97UMwBbwokRIFRlD1YzSRc_yelp_23.jpg
img_y_ChIJX97UMwBbwokRIFRlD1YzSRc_24,ChIJX97UMwBbwokRIFRlD1YzSRc,yelp,data/images/ChIJX97UMwBbwokRIFRlD1YzSRc_yelp_24.jpg
